TID,Milk,Bread,Eggs,Cereal,Cheese,Butter,Yogurt,Juice,Snacks,Vegetables
1,1,1,0,0,1,0,0,1,0,1
2,0,0,1,1,0,0,1,0,0,0
3,0,0,0,1,1,0,0,1,1,0
4,1,0,0,0,1,0,0,1,1,0
5,1,1,0,0,0,0,1,0,0,1
6,0,0,1,0,0,1,0,1,0,0
7,1,1,0,0,0,0,1,0,1,0
8,1,0,1,1,0,0,0,1,0,0
9,0,1,0,0,1,0,0,1,0,1
10,0,0,0,1,1,1,0,0,0,0
11,1,0,1,0,0,0,0,1,1,0
12,0,0,0,1,0,0,1,0,1,1
13,0,1,0,0,0,1,1,0,0,1
14,0,0,1,1,1,0,0,1,0,0
15,0,1,0,0,1,1,0,0,0,0
16,1,1,0,1,0,0,1,1,0,0
17,0,0,1,0,1,0,0,1,0,1
18,1,1,0,0,0,0,1,0,1,0
19,1,0,1,0,1,1,0,0,0,0
20,0,1,0,1,0,1,0,0,1,1
