TID,Milk,Bread,Eggs,Diapers,Shampoo,Soap,Cereal,Juice,Snacks,Clothes
1,1,1,1,0,0,0,0,0,0
2,0,0,0,1,1,1,0,0,0
3,0,0,0,0,0,0,1,1,1
4,1,1,0,0,0,1,0,0,0
5,0,0,1,0,0,0,1,1,0
6,0,0,0,1,0,0,0,0,1,1
7,1,1,0,0,1,1,0,0,0
8,0,0,0,0,0,0,1,1,0,1
9,1,0,0,1,0,0,0,0,1,0
10,0,1,0,0,1,0,0,1,0,0
11,0,0,1,0,0,1,1,0,0,0
12,1,0,0,1,0,0,0,0,1,1
13,0,0,0,0,0,0,0,1,1,0
14,1,1,1,0,0,0,0,0,0
15,0,0,0,1,1,0,1,0,0,0
16,1,0,0,0,0,1,0,0,1,0
17,0,1,1,1,0,0,0,0,0,0
18,1,0,0,0,0,1,1,0,0,0
19,0,1,0,0,0,0,0,1,1,0
20,0,0,1,1,0,0,0,0,0,1
