TID,Transaction Details
1,"TV, Phone Charger, Books, Toys"
2,"Laptop, Clothes, Books"
3,"Phone Charger, Shoes, Headphones, Diapers"
4,"TV, Headphones, Toys, Furniture"
5,"Laptop, Phone Charger, Books"
6,"Shoes, Headphones, Diapers, Furniture"
7,"TV, Headphones, Clothes, Books"
8,"Laptop, Diapers, Furniture"
9,"TV, Shoes, Toys"
10,"Laptop, Phone Charger, Diapers, Toys, Furniture"
11,"Headphones, Clothes, Books"
12,"TV, Phone Charger, Books"
13,"Laptop, Shoes, Headphones, Furniture"
14,"Phone Charger, Headphones, Diapers"
15,"TV, Laptop, Toys, Furniture"
16,"Phone Charger, Headphones, Clothes, Books"
17,"TV, Diapers, Furniture"
18,"Laptop, Phone Charger, Shoes, Clothes"
19,"Headphones, Toys"
20,"Laptop, Phone Charger, Diapers, Books, Furniture"
